address;postcode;state;country;property_valuation
03 Granby Parkway;3216;VIC;Australia;8
939 Coleman Pass;4509;QLD;Australia;7
69914 Bowman Place;2330;NSW;Australia;7
34457 Springview Street;2759;NSW;Australia;9
992 Old Shore Trail;2069;NSW;Australia;12
453 Sheridan Street;2747;NSW;Australia;8
8 Mccormick Crossing;2227;NSW;Australia;8
63344 Holmberg Crossing;2025;NSW;Australia;10
9 Huxley Circle;3191;VIC;Australia;11
0 Hazelcrest Road;3025;VIC;Australia;8
2 Continental Plaza;2263;NSW;Australia;6
80 Duke Terrace;2233;NSW;Australia;10
860 Hintze Lane;2154;NSW;Australia;11
3723 Bunker Hill Circle;2065;NSW;Australia;10
5 Corry Court;2119;NSW;Australia;10
65105 Sommers Pass;3016;VIC;Australia;10
2054 Sommers Pass;4113;QLD;Australia;4
22371 Miller Trail;2032;NSW;Australia;10
35807 Oneill Way;4300;QLD;Australia;4
75612 Clarendon Junction;4352;QLD;Australia;6
16 Golf View Center;3020;VIC;Australia;6
93 Iowa Junction;2116;NSW;Australia;9
48 Cascade Terrace;3057;VIC;Australia;8
13950 Jackson Avenue;2099;NSW;Australia;11
35386 Mockingbird Road;3749;VIC;Australia;4
2 Randy Point;2766;NSW;Australia;8
6898 Redwing Park;2148;NSW;Australia;9
52273 Bay Place;3145;VIC;Australia;11
272 Montana Avenue;2021;NSW;Australia;8
82520 Mifflin Drive;2333;NSW;Australia;5
8 Dixon Parkway;2783;NSW;Australia;7
4 Dayton Terrace;2280;NSW;Australia;9
216 Barnett Junction;4120;QLD;Australia;8
8256 Annamark Court;3638;VIC;Australia;1
83012 Dapin Lane;4300;QLD;Australia;4
8 Haas Park;2074;NSW;Australia;10
50 Meadow Ridge Way;2880;NSW;Australia;1
3567 Northfield Lane;2430;NSW;Australia;5
0059 Brentwood Road;4560;QLD;Australia;7
0274 Oneill Alley;2088;NSW;Australia;10
4179 Carioca Terrace;2220;NSW;Australia;11
59265 Sullivan Junction;3031;VIC;Australia;4
7 Warbler Point;2250;NSW;Australia;9
3 Buell Park;2261;NSW;Australia;7
0 Bay Center;3196;VIC;Australia;6
10878 Waywood Way;4352;QLD;Australia;7
362 Mayer Terrace;4680;QLD;Australia;5
43 Upham Crossing;3143;VIC;Australia;9
0 Superior Drive;2747;NSW;Australia;8
8890 Golden Leaf Street;2063;NSW;Australia;12
5484 Hagan Crossing;3021;VIC;Australia;7
7451 Jana Lane;2138;NSW;Australia;8
7 Havey Point;4005;QLD;Australia;2
32 Steensland Plaza;2233;NSW;Australia;9
107 Elmside Parkway;4811;QLD;Australia;5
2 Gina Junction;2085;NSW;Australia;11
4 Londonderry Lane;3084;VIC;Australia;10
39716 Vera Junction;3170;VIC;Australia;9
183 Ronald Regan Street;2066;NSW;Australia;9
2 Thierer Road;4113;QLD;Australia;8
056 Stone Corner Alley;4078;QLD;Australia;7
528 Mandrake Crossing;2222;NSW;Australia;11
19969 5th Parkway;3152;VIC;Australia;9
78 Rockefeller Park;2159;NSW;Australia;10
417 Transport Trail;4503;QLD;Australia;4
6327 Lunder Crossing;4655;QLD;Australia;4
811 Tony Road;4220;QLD;Australia;9
0 Northport Court;4012;QLD;Australia;3
231 Havey Court;2153;NSW;Australia;10
603 Kenwood Avenue;2070;NSW;Australia;11
09040 Myrtle Parkway;2015;NSW;Australia;8
05241 Shelley Park;2776;NSW;Australia;8
7 Pankratz Point;3011;VIC;Australia;8
51 Crescent Oaks Parkway;2761;NSW;Australia;8
49 Emmet Junction;2015;NSW;Australia;11
78 Surrey Place;2502;NSW;Australia;7
6236 Summerview Terrace;2110;NSW;Australia;12
682 Sheridan Avenue;2566;NSW;Australia;9
04139 Delladonna Place;2519;NSW;Australia;7
2 Scott Circle;2506;NSW;Australia;9
92253 Kensington Drive;2209;NSW;Australia;7
93 Westend Terrace;2116;NSW;Australia;10
4 5th Point;2075;NSW;Australia;11
11667 Blackbird Street;2226;NSW;Australia;10
0 Sommers Circle;2145;NSW;Australia;9
2 Northridge Street;2508;NSW;Australia;10
816 Spohn Center;2036;NSW;Australia;10
98 Service Court;2018;NSW;Australia;8
6 Morning Park;3666;VIC;Australia;2
4263 Hanson Place;2021;NSW;Australia;11
6159 Katie Street;2750;NSW;Australia;8
95 Eliot Street;4514;QLD;Australia;3
0 Westend Park;2525;NSW;Australia;9
39988 Porter Pass;4152;QLD;Australia;7
0796 Melody Park;2200;NSW;Australia;9
2914 Vahlen Lane;2250;NSW;Australia;8
65 Kinsman Trail;3023;VIC;Australia;6
07227 Hoard Terrace;3500;VIC;Australia;1
25503 Evergreen Drive;4300;QLD;Australia;5
2 2nd Plaza;2283;NSW;Australia;4
122 Melrose Drive;2102;NSW;Australia;10
37024 Anniversary Place;2204;NSW;Australia;11
91141 Huxley Parkway;2040;NSW;Australia;10
04 Fallview Trail;2749;NSW;Australia;8
8029 Gulseth Center;2304;NSW;Australia;7
77248 Columbus Drive;2340;NSW;Australia;7
0850 Schmedeman Drive;3580;VIC;Australia;1
131 Northfield Parkway;3355;VIC;Australia;2
5130 Manley Court;2287;NSW;Australia;7
879 Coolidge Point;2324;NSW;Australia;5
6759 Nevada Point;2323;NSW;Australia;6
8208 Parkside Point;2320;NSW;Australia;6
15 Straubel Way;4680;QLD;Australia;2
7 Eastlawn Street;2346;NSW;Australia;1
42067 Duke Terrace;2031;NSW;Australia;10
50 Everett Way;2064;NSW;Australia;9
454 Green Ridge Avenue;2176;NSW;Australia;10
19220 Evergreen Crossing;3195;VIC;Australia;9
109 Tomscot Avenue;2010;NSW;Australia;10
48 Arizona Drive;2768;NSW;Australia;10
92 Lyons Place;2752;NSW;Australia;9
47 Jana Junction;3802;VIC;Australia;7
90173 Oneill Place;3071;VIC;Australia;10
6262 Elgar Avenue;4735;QLD;Australia;2
5668 Corscot Circle;2065;NSW;Australia;12
8 Texas Plaza;3081;VIC;Australia;9
32062 Oak Terrace;3205;VIC;Australia;8
07158 Roth Pass;2165;NSW;Australia;4
370 Portage Parkway;3125;VIC;Australia;8
19795 Bultman Circle;4214;QLD;Australia;8
3 Corscot Crossing;2030;NSW;Australia;12
34 Kim Center;2036;NSW;Australia;11
8 Starling Pass;2767;NSW;Australia;8
36 Vidon Parkway;2798;NSW;Australia;6
8 Riverside Place;4211;QLD;Australia;5
28604 Bellgrove Circle;4508;QLD;Australia;6
2 Cottonwood Road;2032;NSW;Australia;11
58 Parkside Hill;2117;NSW;Australia;12
747 Thackeray Circle;4551;QLD;Australia;7
5583 Prairie Rose Trail;2765;NSW;Australia;8
071 Cardinal Point;3064;VIC;Australia;7
7169 North Lane;2023;NSW;Australia;9
6923 Tennessee Circle;2766;NSW;Australia;9
8207 Cascade Court;3810;VIC;Australia;5
2 Brentwood Place;4151;QLD;Australia;8
00 5th Lane;2830;NSW;Australia;2
807 Beilfuss Crossing;3030;VIC;Australia;7
76 Graedel Street;4812;QLD;Australia;6
29886 Crownhardt Crossing;2141;NSW;Australia;8
1 Drewry Junction;3810;VIC;Australia;7
83 Brickson Park Drive;3029;VIC;Australia;8
95 Almo Junction;2173;NSW;Australia;9
08 Golf View Plaza;3199;VIC;Australia;9
6170 Buena Vista Way;2320;NSW;Australia;7
0 Orin Place;4506;QLD;Australia;7
20924 Banding Crossing;2516;NSW;Australia;9
91193 Petterle Road;2035;NSW;Australia;11
01459 Fremont Place;2747;NSW;Australia;4
58 Spenser Circle;3030;VIC;Australia;3
93 Lawn Park;3152;VIC;Australia;9
5982 Mosinee Avenue;3340;VIC;Australia;5
37006 Hoard Circle;3182;VIC;Australia;7
06 Corry Pass;2450;NSW;Australia;9
099 Nova Plaza;2227;NSW;Australia;10
252 Mockingbird Plaza;2216;NSW;Australia;10
990 Kensington Park;3796;VIC;Australia;8
706 Anniversary Alley;3064;VIC;Australia;3
52 Corben Place;3197;VIC;Australia;10
4270 Loeprich Lane;3064;VIC;Australia;7
2 Clyde Gallagher Drive;2232;NSW;Australia;10
671 American Ash Way;2365;NSW;Australia;2
93 American Ash Avenue;2747;NSW;Australia;8
1108 Nevada Junction;4701;QLD;Australia;2
41 Spaight Road;4503;QLD;Australia;5
5 Schurz Place;4350;QLD;Australia;6
82 8th Alley;4210;QLD;Australia;9
84 Lawn Way;2223;NSW;Australia;9
0 Coolidge Avenue;4122;QLD;Australia;8
0 Graceland Plaza;2515;NSW;Australia;10
8717 Mandrake Place;4214;QLD;Australia;8
2 Thierer Lane;3437;VIC;Australia;8
19507 Red Cloud Park;3338;VIC;Australia;4
3 Golf Course Avenue;2203;NSW;Australia;9
042 Bunker Hill Avenue;2088;NSW;Australia;8
45793 Nancy Plaza;4226;QLD;Australia;8
314 Northland Plaza;4213;QLD;Australia;5
3093 Mockingbird Place;3356;VIC;Australia;2
82 Mcbride Trail;3223;VIC;Australia;6
24044 Bonner Hill;3032;VIC;Australia;8
1 Rowland Circle;3105;VIC;Australia;10
7 Arapahoe Pass;3101;VIC;Australia;12
7905 Spaight Alley;2763;NSW;Australia;8
8 Grayhawk Circle;2089;NSW;Australia;10
3 Lyons Road;2759;NSW;Australia;8
72419 Eagan Road;2040;NSW;Australia;10
6860 Green Ridge Avenue;2126;NSW;Australia;11
85 Straubel Park;2147;NSW;Australia;9
08 Ronald Regan Plaza;2251;NSW;Australia;9
44621 Linden Drive;2155;NSW;Australia;10
3 Moulton Lane;2153;NSW;Australia;9
7633 Mayer Plaza;2768;NSW;Australia;10
98 Westerfield Trail;3127;VIC;Australia;11
1826 Hazelcrest Park;3087;VIC;Australia;9
98 Sutteridge Point;3131;VIC;Australia;10
6 Sunbrook Center;4350;QLD;Australia;6
143 Elka Circle;3134;VIC;Australia;9
0293 Porter Crossing;2830;NSW;Australia;5
7447 Nevada Park;2193;NSW;Australia;8
7 Park Meadow Drive;4055;QLD;Australia;3
780 Carberry Place;3199;VIC;Australia;9
5337 Dennis Pass;2170;NSW;Australia;9
7 Debs Point;2322;NSW;Australia;4
708 Russell Parkway;2530;NSW;Australia;7
66286 Homewood Alley;2075;NSW;Australia;11
8728 Express Way;2340;NSW;Australia;7
93583 Moland Way;2066;NSW;Australia;12
18264 Maryland Way;4217;QLD;Australia;9
411 Homewood Lane;4020;QLD;Australia;5
8 Mariners Cove Drive;2096;NSW;Australia;10
279 Jenna Circle;2179;NSW;Australia;12
382 Maywood Parkway;4127;QLD;Australia;6
6085 Petterle Circle;3130;VIC;Australia;10
06324 Michigan Trail;4570;QLD;Australia;4
92808 Mallard Terrace;3215;VIC;Australia;4
841 Anderson Drive;3101;VIC;Australia;8
67884 Fair Oaks Parkway;3931;VIC;Australia;9
1823 Judy Center;3165;VIC;Australia;10
953 Eliot Crossing;2166;NSW;Australia;9
90761 Shasta Pass;3936;VIC;Australia;7
259 Barnett Crossing;2265;NSW;Australia;5
0 Brown Trail;2203;NSW;Australia;9
3467 Prairie Rose Lane;3034;VIC;Australia;7
24 Scoville Parkway;4670;QLD;Australia;1
010 Namekagon Parkway;2062;NSW;Australia;12
99826 Steensland Avenue;2162;NSW;Australia;5
28809 Mesta Pass;4170;QLD;Australia;8
201 Randy Parkway;3033;VIC;Australia;7
58211 Surrey Crossing;2170;NSW;Australia;9
720 Menomonie Avenue;2749;NSW;Australia;8
4604 Cordelia Drive;2144;NSW;Australia;10
3788 Service Trail;3805;VIC;Australia;8
8 Holy Cross Center;2047;NSW;Australia;9
740 Calypso Drive;2100;NSW;Australia;10
9457 Arizona Plaza;2642;NSW;Australia;2
75 Bartillon Street;3228;VIC;Australia;8
7 Reinke Junction;2145;NSW;Australia;10
7343 Washington Road;2287;NSW;Australia;5
3 Valley Edge Trail;3444;VIC;Australia;7
32 Farragut Avenue;2076;NSW;Australia;11
5 Florence Hill;4124;QLD;Australia;7
095 Prairieview Circle;3191;VIC;Australia;12
47226 Algoma Place;4305;QLD;Australia;3
564 Northview Junction;3195;VIC;Australia;11
5359 Alpine Hill;2579;NSW;Australia;5
586 Miller Parkway;2835;NSW;Australia;1
32571 Dixon Center;3337;VIC;Australia;3
333 Bunting Crossing;2536;NSW;Australia;4
1 Red Cloud Street;2770;NSW;Australia;8
07 New Castle Circle;2646;NSW;Australia;1
78152 Harper Parkway;2756;NSW;Australia;8
981 West Way;3133;VIC;Australia;10
8 Monterey Plaza;2066;NSW;Australia;9
25 Graceland Way;2750;NSW;Australia;8
41605 Mitchell Street;2750;NSW;Australia;8
42 Upham Pass;4558;QLD;Australia;3
17 Sunfield Road;2211;NSW;Australia;9
84549 Jenifer Crossing;2570;NSW;Australia;8
5449 Jenna Road;2170;NSW;Australia;9
05 Butternut Crossing;4552;QLD;Australia;4
7427 Fuller Trail;3082;VIC;Australia;8
713 Eastwood Terrace;2360;NSW;Australia;1
7526 Artisan Parkway;4223;QLD;Australia;8
3 Oriole Place;3183;VIC;Australia;7
690 Hanson Center;2330;NSW;Australia;3
509 Fisk Hill;2031;NSW;Australia;11
27 Petterle Center;4370;QLD;Australia;2
3 Annamark Avenue;3150;VIC;Australia;11
311 Dapin Point;2549;NSW;Australia;3
15082 Crest Line Plaza;3040;VIC;Australia;8
1 Carey Pass;2065;NSW;Australia;11
8 Moland Pass;2065;NSW;Australia;10
25386 Fallview Place;2340;NSW;Australia;3
8078 Talisman Trail;4209;QLD;Australia;7
6920 Dwight Circle;4173;QLD;Australia;7
9 Lukken Parkway;2065;NSW;Australia;10
09 Graceland Junction;3204;VIC;Australia;2
155 Basil Junction;2210;NSW;Australia;10
4284 Surrey Circle;2068;NSW;Australia;12
4 Almo Plaza;2085;NSW;Australia;10
91 Porter Pass;3064;VIC;Australia;7
007 Gerald Place;3074;VIC;Australia;4
8788 Armistice Trail;3806;VIC;Australia;8
1693 Artisan Hill;2259;NSW;Australia;6
532 Emmet Way;2260;NSW;Australia;8
3 Sutteridge Park;4074;QLD;Australia;6
25522 Mosinee Point;4215;QLD;Australia;7
421 Bobwhite Road;2160;NSW;Australia;6
41 Ronald Regan Center;3008;VIC;Australia;5
3 Loomis Crossing;2217;NSW;Australia;9
93 Jana Junction;2213;NSW;Australia;10
528 Buell Crossing;2748;NSW;Australia;10
261 Northport Lane;2567;NSW;Australia;7
98 Scott Parkway;2096;NSW;Australia;10
8385 Lien Drive;3192;Victoria;Australia;10
24919 Artisan Court;3015;Victoria;Australia;8
37093 Manitowish Center;2170;NSW;Australia;10
9 Monterey Point;4221;QLD;Australia;10
6 Mariners Cove Center;2233;NSW;Australia;10
572 Gerald Trail;2145;NSW;Australia;7
7 Farmco Trail;2759;NSW;Australia;9
19964 Nancy Drive;3121;Victoria;Australia;8
57 Columbus Road;4870;QLD;Australia;5
455 Hooker Lane;3337;Victoria;Australia;2
0777 Farwell Pass;2118;NSW;Australia;10
23 Glacier Hill Avenue;2259;NSW;Australia;6
8750 Lakewood Gardens Park;2760;NSW;Australia;7
0619 Dorton Plaza;3150;Victoria;Australia;11
3469 Service Road;2770;NSW;Australia;5
9 Dahle Place;2763;NSW;Australia;9
8 Dayton Park;2050;NSW;Australia;9
091 Farragut Crossing;3058;Victoria;Australia;9
70488 Logan Court;2074;NSW;Australia;12
0 Golf Lane;2120;NSW;Australia;11
663 Bellgrove Parkway;3812;Victoria;Australia;8
9907 Morningstar Pass;2147;NSW;Australia;9
29 South Point;3111;Victoria;Australia;9
91 Eagle Crest Circle;2567;NSW;Australia;9
781 Dorton Avenue;3012;Victoria;Australia;10
47 Dwight Road;4217;QLD;Australia;8
6674 Russell Center;2197;NSW;Australia;9
84041 Holy Cross Circle;2142;NSW;Australia;8
340 Northview Circle;2340;NSW;Australia;4
74011 Manufacturers Street;2320;NSW;Australia;6
30991 Macpherson Parkway;2155;NSW;Australia;9
40504 Tennyson Drive;2046;NSW;Australia;9
76369 Ridge Oak Place;3162;Victoria;Australia;9
51188 Annamark Hill;2037;NSW;Australia;9
00976 Sundown Lane;2428;NSW;Australia;3
87 Stone Corner Park;3141;Victoria;Australia;7
9 Westridge Road;3178;Victoria;Australia;9
4671 Buell Trail;3564;Victoria;Australia;2
3743 Melody Avenue;3550;Victoria;Australia;4
8670 Pine View Street;3070;Victoria;Australia;11
31 Twin Pines Trail;3775;Victoria;Australia;10
11731 3rd Hill;3004;Victoria;Australia;9
411 Lien Place;4226;QLD;Australia;10
431 Ilene Center;2026;NSW;Australia;10
4 Pond Parkway;3185;Victoria;Australia;9
61293 Delladonna Way;2015;NSW;Australia;9
6390 Truax Park;3012;Victoria;Australia;9
470 Bunting Center;2447;NSW;Australia;3
02 Boyd Crossing;3143;Victoria;Australia;7
2639 Brown Road;3910;Victoria;Australia;7
0897 Little Fleur Way;3621;Victoria;Australia;8
353 Stuart Trail;4702;QLD;Australia;3
9 Rowland Road;2133;NSW;Australia;10
830 Summit Center;3075;Victoria;Australia;7
4754 Moulton Alley;2069;NSW;Australia;9
808 Debra Center;3911;Victoria;Australia;10
8739 Service Park;2250;NSW;Australia;8
4 Thackeray Pass;2487;NSW;Australia;9
9 Bayside Hill;4123;QLD;Australia;6
20373 Kensington Pass;2151;NSW;Australia;8
7 Hooker Place;2428;NSW;Australia;3
089 Old Shore Point;3156;Victoria;Australia;8
5723 Raven Drive;3126;Victoria;Australia;12
08501 Kropf Trail;3152;Victoria;Australia;10
12845 Paget Lane;2026;NSW;Australia;12
1 Vidon Pass;2233;NSW;Australia;8
590 Hayes Court;2027;NSW;Australia;11
49503 Sachtjen Circle;4208;QLD;Australia;8
2595 Grover Drive;3124;Victoria;Australia;12
3169 Old Gate Point;2211;NSW;Australia;9
90974 Chinook Parkway;2564;NSW;Australia;8
75790 Towne Avenue;4221;QLD;Australia;9
62 Northport Lane;2049;NSW;Australia;10
84 Calypso Circle;3690;Victoria;Australia;5
81848 Amoth Road;3282;Victoria;Australia;2
27230 7th Place;2068;NSW;Australia;12
1 Cordelia Alley;2261;NSW;Australia;8
80 Lakewood Street;2576;NSW;Australia;10
66834 Melby Way;2160;NSW;Australia;9
35796 Buhler Plaza;3108;Victoria;Australia;10
306 Longview Street;2145;NSW;Australia;7
39632 Michigan Park;4165;QLD;Australia;5
1038 Hayes Point;2021;NSW;Australia;7
46 Eastlawn Lane;2218;NSW;Australia;11
12 Monument Alley;3124;Victoria;Australia;12
64700 2nd Alley;2145;NSW;Australia;7
999 Huxley Hill;2190;NSW;Australia;10
311 Emmet Point;4211;QLD;Australia;7
000 Jana Hill;3170;Victoria;Australia;9
7671 Oak Valley Junction;2170;NSW;Australia;9
8304 Derek Park;3130;Victoria;Australia;10
8635 Cody Crossing;2337;NSW;Australia;6
20 Debs Road;2307;NSW;Australia;4
858 Independence Terrace;2121;NSW;Australia;10
142 Cambridge Place;2761;NSW;Australia;8
20198 Hansons Plaza;2340;NSW;Australia;2
04678 Elka Crossing;2745;NSW;Australia;9
5 Farmco Junction;4127;QLD;Australia;7
2 East Circle;2716;NSW;Australia;1
1949 Pepper Wood Pass;3168;Victoria;Australia;6
7901 Park Meadow Plaza;3076;Victoria;Australia;7
58 Maywood Place;2750;NSW;Australia;9
532 Bartillon Circle;2166;NSW;Australia;7
032 Kenwood Circle;2031;NSW;Australia;9
67 8th Terrace;3564;Victoria;Australia;4
06008 Anthes Pass;2478;NSW;Australia;8
956 Mccormick Place;4127;QLD;Australia;2
6 Eggendart Circle;3016;Victoria;Australia;7
1 Service Alley;2116;NSW;Australia;10
62117 Trailsway Place;3356;Victoria;Australia;1
4 Graedel Parkway;2560;NSW;Australia;8
311 Chive Way;4680;QLD;Australia;3
9161 Hoepker Street;4740;QLD;Australia;5
19 Lakewood Gardens Way;2760;NSW;Australia;9
5861 Browning Park;2065;NSW;Australia;8
396 Butternut Point;2230;NSW;Australia;12
04 Hansons Street;2087;NSW;Australia;11
8601 Cardinal Court;4505;QLD;Australia;8
35631 Colorado Crossing;2630;NSW;Australia;2
446 Dottie Court;2225;NSW;Australia;10
37 Ilene Hill;3121;Victoria;Australia;10
909 Browning Crossing;3013;Victoria;Australia;10
8498 Hoepker Circle;3136;Victoria;Australia;8
7 Claremont Court;2111;NSW;Australia;12
64 Hayes Circle;2209;NSW;Australia;11
44 Bunting Parkway;2106;NSW;Australia;10
8 Pawling Alley;3930;Victoria;Australia;8
4 Carioca Way;3182;Victoria;Australia;10
4559 Stoughton Lane;2097;NSW;Australia;10
7046 Surrey Road;2287;NSW;Australia;7
58821 Warbler Crossing;2291;NSW;Australia;9
95 Delladonna Plaza;2283;NSW;Australia;4
8 Sommers Circle;2305;NSW;Australia;7
3 Lunder Place;2300;NSW;Australia;10
93098 Loftsgordon Pass;4179;QLD;Australia;4
61493 Manufacturers Junction;2539;NSW;Australia;9
1192 Declaration Hill;3207;Victoria;Australia;8
62 Cherokee Terrace;2630;NSW;Australia;1
01736 Saint Paul Way;2154;NSW;Australia;11
